id,vehicle_id,route_id,stop_id,lat,lon,delay_seconds,delay_minutes,status,on_time,period,timestamp,date,hour,day_of_week,is_weekend
85,OC-1084,O2,BUS04,45.281588832412936,-75.74302537823137,118,2.0,on_time,1,PM Peak,2026-05-12T16:47:34.023174,2026-05-12,16,Tuesday,0
86,OC-1085,95,BUS02,45.38055064574711,-75.66393674526282,23,0.4,on_time,1,PM Peak,2026-05-12T16:36:08.023174,2026-05-12,16,Tuesday,0
87,OC-1086,96,BUS03,45.35975949037306,-75.63914582054956,-13,-0.2,on_time,1,PM Peak,2026-05-12T17:01:14.023174,2026-05-12,17,Tuesday,0
88,OC-1087,12,AA550,45.413160608890074,-75.65544650375394,27,0.5,on_time,1,PM Peak,2026-05-12T16:41:22.023174,2026-05-12,16,Tuesday,0
89,OC-1088,12,AA590,45.43185581150843,-75.5883405284164,-15,-0.2,on_time,1,PM Peak,2026-05-12T17:05:49.023174,2026-05-12,17,Tuesday,0
90,OC-1089,38,BUS05,45.339827337558056,-75.91231942592891,3,0.1,on_time,1,PM Peak,2026-05-12T16:50:15.023174,2026-05-12,16,Tuesday,0
91,OC-1090,97,AA010,45.347907918930225,-75.80422903337026,174,2.9,on_time,1,PM Peak,2026-05-12T17:16:56.023174,2026-05-12,17,Tuesday,0
92,OC-1091,18,AA590,45.43399006267591,-75.58781547076106,34,0.6,on_time,1,PM Peak,2026-05-12T17:16:42.023174,2026-05-12,17,Tuesday,0
93,OC-1092,97,AA540,45.41574334390418,-75.67188390072022,-13,-0.2,on_time,1,PM Peak,2026-05-12T16:51:46.023174,2026-05-12,16,Tuesday,0
94,OC-1093,38,AA590,45.43286956059693,-75.58948948881087,-7,-0.1,on_time,1,PM Peak,2026-05-12T17:07:53.023174,2026-05-12,17,Tuesday,0
95,OC-1094,97,BUS05,45.341257567932104,-75.91389159181465,37,0.6,on_time,1,PM Peak,2026-05-12T16:20:17.023174,2026-05-12,16,Tuesday,0
96,OC-1095,O1,BUS01,45.38220113853396,-75.69648358454324,41,0.7,on_time,1,PM Peak,2026-05-12T16:27:42.023174,2026-05-12,16,Tuesday,0
97,OC-1096,12,BUS02,45.38151855994401,-75.66588697353745,18,0.3,on_time,1,PM Peak,2026-05-12T16:40:45.023174,2026-05-12,16,Tuesday,0
98,OC-1097,40,AA550,45.411077533148195,-75.6538423238083,-60,-1.0,on_time,1,PM Peak,2026-05-12T17:15:26.023174,2026-05-12,17,Tuesday,0
99,OC-1098,38,AA540,45.4178291424111,-75.67183896744984,-41,-0.7,on_time,1,PM Peak,2026-05-12T17:02:49.023174,2026-05-12,17,Tuesday,0
100,OC-1099,1,AA540,45.414609529383135,-75.6714951161005,-111,-1.9,early,1,PM Peak,2026-05-12T16:32:03.023174,2026-05-12,16,Tuesday,0
101,OC-1100,O1,AA500,45.42179785988498,-75.70493240760658,-1,0.0,on_time,1,PM Peak,2026-05-12T16:56:57.023174,2026-05-12,16,Tuesday,0
102,OC-1101,7,AA500,45.41943239499863,-75.707897286298,-41,-0.7,on_time,1,PM Peak,2026-05-12T17:11:32.023174,2026-05-12,17,Tuesday,0
103,OC-1102,18,BUS06,45.478765882394164,-75.50620668089162,25,0.4,on_time,1,PM Peak,2026-05-12T17:04:41.023174,2026-05-12,17,Tuesday,0
104,OC-1103,97,AA540,45.415206330741945,-75.66926296384334,619,10.3,very_late,0,PM Peak,2026-05-12T16:25:24.023174,2026-05-12,16,Tuesday,0
105,OC-1104,2,BUS06,45.47713098098124,-75.50435391463725,-128,-2.1,early,1,PM Peak,2026-05-12T17:11:52.023174,2026-05-12,17,Tuesday,0
106,OC-1105,2,BUS04,45.281398302508,-75.74271067632763,-30,-0.5,on_time,1,PM Peak,2026-05-12T17:02:39.023174,2026-05-12,17,Tuesday,0
107,OC-1106,2,BUS01,45.38531482924401,-75.69517076542517,327,5.5,very_late,0,PM Peak,2026-05-12T16:43:10.023174,2026-05-12,16,Tuesday,0
108,OC-1107,40,AA520,45.425080329585555,-75.69176720312477,131,2.2,on_time,1,PM Peak,2026-05-12T17:08:32.023174,2026-05-12,17,Tuesday,0
109,OC-1108,96,BUS03,45.36092410485722,-75.64092641784781,52,0.9,on_time,1,PM Peak,2026-05-12T16:50:11.023174,2026-05-12,16,Tuesday,0
110,OC-1109,12,AA490,45.41400190512731,-75.71472060142129,45,0.8,on_time,1,PM Peak,2026-05-12T16:37:29.023174,2026-05-12,16,Tuesday,0
111,OC-1110,O1,AA590,45.43440381134525,-75.58927264057137,-119,-2.0,early,1,PM Peak,2026-05-12T16:41:24.023174,2026-05-12,16,Tuesday,0
112,OC-1111,12,AA580,45.42711863395215,-75.60361537996825,-9,-0.1,on_time,1,PM Peak,2026-05-12T17:12:54.023174,2026-05-12,17,Tuesday,0
113,OC-1112,18,BUS05,45.33976422569411,-75.91303457579852,150,2.5,on_time,1,PM Peak,2026-05-12T16:19:08.023174,2026-05-12,16,Tuesday,0
114,OC-1113,40,BUS03,45.35990437244313,-75.63915263037411,14,0.2,on_time,1,PM Peak,2026-05-12T16:56:21.023174,2026-05-12,16,Tuesday,0
115,OC-1114,95,AA010,45.34761760451471,-75.8070267793445,-16,-0.3,on_time,1,PM Peak,2026-05-12T16:24:48.023174,2026-05-12,16,Tuesday,0
116,OC-1115,O1,BUS06,45.47712368772458,-75.50529798474918,65,1.1,on_time,1,PM Peak,2026-05-12T16:43:38.023174,2026-05-12,16,Tuesday,0
117,OC-1116,O2,BUS05,45.340814981051416,-75.9127735080346,14,0.2,on_time,1,PM Peak,2026-05-12T16:41:01.023174,2026-05-12,16,Tuesday,0
118,OC-1117,12,AA500,45.41947821896502,-75.70585654413847,-10,-0.2,on_time,1,PM Peak,2026-05-12T17:07:41.023174,2026-05-12,17,Tuesday,0
119,OC-1118,O2,AA520,45.42593679434885,-75.69210165999563,17,0.3,on_time,1,PM Peak,2026-05-12T16:31:31.023174,2026-05-12,16,Tuesday,0
120,OC-1119,96,AA560,45.41190993265393,-75.64128223382527,-12,-0.2,on_time,1,PM Peak,2026-05-12T16:25:18.023174,2026-05-12,16,Tuesday,0
121,OC-1120,1,BUS05,45.34289717972441,-75.91178656413281,-28,-0.5,on_time,1,PM Peak,2026-05-12T16:27:05.023174,2026-05-12,16,Tuesday,0
122,OC-1121,O2,AA510,45.42749087894,-75.6987037431215,36,0.6,on_time,1,PM Peak,2026-05-12T17:01:59.023174,2026-05-12,17,Tuesday,0
123,OC-1122,95,BUS03,45.36186199057255,-75.64099008643802,-19,-0.3,on_time,1,PM Peak,2026-05-12T16:48:31.023174,2026-05-12,16,Tuesday,0
124,OC-1123,95,AA500,45.42096698624116,-75.70569191537412,-65,-1.1,early,1,PM Peak,2026-05-12T17:14:34.023174,2026-05-12,17,Tuesday,0
125,OC-1124,O1,AA170,45.39925135838834,-75.73778465795263,-9,-0.1,on_time,1,PM Peak,2026-05-12T16:28:48.023174,2026-05-12,16,Tuesday,0
126,OC-1125,12,AA500,45.42138450738164,-75.70552632659002,38,0.6,on_time,1,PM Peak,2026-05-12T16:56:32.023174,2026-05-12,16,Tuesday,0
127,OC-1126,96,AA590,45.434440666663306,-75.58603987495813,49,0.8,on_time,1,PM Peak,2026-05-12T16:49:12.023174,2026-05-12,16,Tuesday,0
128,OC-1127,18,BUS06,45.47884043510973,-75.5066030657009,-111,-1.9,early,1,PM Peak,2026-05-12T17:00:50.023174,2026-05-12,17,Tuesday,0
129,OC-1128,12,AA530,45.42162822837353,-75.6833047458067,275,4.6,late,0,PM Peak,2026-05-12T16:36:30.023174,2026-05-12,16,Tuesday,0
130,OC-1129,2,AA520,45.42675748454314,-75.69312035008397,28,0.5,on_time,1,PM Peak,2026-05-12T16:18:37.023174,2026-05-12,16,Tuesday,0
131,OC-1130,1,AA540,45.41681195023237,-75.67018387469437,588,9.8,very_late,0,PM Peak,2026-05-12T16:38:07.023174,2026-05-12,16,Tuesday,0
132,OC-1131,O1,AA540,45.41664473217141,-75.66826532616622,307,5.1,very_late,0,PM Peak,2026-05-12T16:36:30.023174,2026-05-12,16,Tuesday,0
133,OC-1132,40,AA500,45.4195959576043,-75.70693747011344,11,0.2,on_time,1,PM Peak,2026-05-12T16:55:37.023174,2026-05-12,16,Tuesday,0
134,OC-1133,7,AA490,45.41223044725045,-75.71400416911173,-10,-0.2,on_time,1,PM Peak,2026-05-12T16:22:31.023174,2026-05-12,16,Tuesday,0
135,OC-1134,97,AA560,45.41375471196484,-75.6392010652601,-61,-1.0,early,1,PM Peak,2026-05-12T16:48:25.023174,2026-05-12,16,Tuesday,0
136,OC-1135,18,BUS04,45.2783217674076,-75.74584055686327,58,1.0,on_time,1,PM Peak,2026-05-12T16:55:18.023174,2026-05-12,16,Tuesday,0
137,OC-1136,40,AA570,45.41736530754652,-75.61615235559123,-29,-0.5,on_time,1,PM Peak,2026-05-12T16:59:39.023174,2026-05-12,16,Tuesday,0
138,OC-1137,97,BUS06,45.476078044103865,-75.50683907330742,322,5.4,very_late,0,PM Peak,2026-05-12T16:19:51.023174,2026-05-12,16,Tuesday,0
139,OC-1138,7,BUS03,45.361664291151705,-75.6412740434111,298,5.0,late,0,PM Peak,2026-05-12T16:53:52.023174,2026-05-12,16,Tuesday,0
140,OC-1139,97,BUS01,45.38388004157984,-75.69636660762627,35,0.6,on_time,1,PM Peak,2026-05-12T17:01:47.023174,2026-05-12,17,Tuesday,0
141,OC-1140,38,AA500,45.42064658035915,-75.70601812391615,-39,-0.7,on_time,1,PM Peak,2026-05-12T17:17:00.023174,2026-05-12,17,Tuesday,0
142,OC-1141,O1,AA590,45.4328193036344,-75.58874193137132,92,1.5,on_time,1,PM Peak,2026-05-12T17:13:59.023174,2026-05-12,17,Tuesday,0
143,OC-1142,38,AA500,45.42105838500932,-75.70404752314087,55,0.9,on_time,1,PM Peak,2026-05-12T17:11:11.023174,2026-05-12,17,Tuesday,0
144,OC-1143,O1,BUS05,45.33975033016558,-75.9125528825634,3,0.1,on_time,1,PM Peak,2026-05-12T16:49:59.023174,2026-05-12,16,Tuesday,0
145,OC-1144,95,BUS02,45.379068224953095,-75.66647594708421,-137,-2.3,early,1,PM Peak,2026-05-12T17:10:19.023174,2026-05-12,17,Tuesday,0
146,OC-1145,18,BUS02,45.37811547776977,-75.66447991089198,37,0.6,on_time,1,PM Peak,2026-05-12T17:06:07.023174,2026-05-12,17,Tuesday,0
147,OC-1146,12,AA520,45.42620900563622,-75.69462716319487,90,1.5,on_time,1,PM Peak,2026-05-12T16:39:39.023174,2026-05-12,16,Tuesday,0
148,OC-1147,2,BUS02,45.37861588449771,-75.66326938776027,323,5.4,very_late,0,PM Peak,2026-05-12T16:26:28.023174,2026-05-12,16,Tuesday,0
149,OC-1148,18,BUS04,45.281338895782305,-75.74207902146959,-4,-0.1,on_time,1,PM Peak,2026-05-12T17:06:36.023174,2026-05-12,17,Tuesday,0
150,OC-1149,12,BUS02,45.378762441483794,-75.6646024896053,-36,-0.6,on_time,1,PM Peak,2026-05-12T16:56:04.023174,2026-05-12,16,Tuesday,0
151,OC-1150,O2,AA510,45.42709070053071,-75.6975823504801,-73,-1.2,early,1,PM Peak,2026-05-12T17:17:26.023174,2026-05-12,17,Tuesday,0
152,OC-1151,38,BUS04,45.280904203930454,-75.74265009630957,-132,-2.2,early,1,PM Peak,2026-05-12T16:36:41.023174,2026-05-12,16,Tuesday,0
153,OC-1152,97,BUS03,45.36015432231081,-75.64061950423323,-32,-0.5,on_time,1,PM Peak,2026-05-12T17:17:31.023174,2026-05-12,17,Tuesday,0
154,OC-1153,96,BUS05,45.34028710940092,-75.91324539050518,89,1.5,on_time,1,PM Peak,2026-05-12T16:44:12.023174,2026-05-12,16,Tuesday,0
155,OC-1154,O2,AA540,45.41742405190394,-75.6703568996178,14,0.2,on_time,1,PM Peak,2026-05-12T16:57:29.023174,2026-05-12,16,Tuesday,0
156,OC-1155,38,BUS03,45.361953656007756,-75.6388304253572,24,0.4,on_time,1,PM Peak,2026-05-12T17:06:35.023174,2026-05-12,17,Tuesday,0
157,OC-1156,O1,AA510,45.426009164600536,-75.69863927828276,-142,-2.4,early,1,PM Peak,2026-05-12T16:52:15.023174,2026-05-12,16,Tuesday,0
158,OC-1157,2,BUS02,45.3798277122979,-75.66411022468972,148,2.5,on_time,1,PM Peak,2026-05-12T16:25:15.023174,2026-05-12,16,Tuesday,0
159,OC-1158,40,AA510,45.4278768145223,-75.6996457550638,80,1.3,on_time,1,PM Peak,2026-05-12T16:23:33.023174,2026-05-12,16,Tuesday,0
160,OC-1159,O2,AA590,45.43231426235593,-75.58730257001938,-36,-0.6,on_time,1,PM Peak,2026-05-12T17:02:48.023174,2026-05-12,17,Tuesday,0
161,OC-1160,96,AA590,45.434549754731634,-75.58804821005843,315,5.2,very_late,0,PM Peak,2026-05-12T16:40:04.023174,2026-05-12,16,Tuesday,0
162,OC-1161,96,AA170,45.39952464406742,-75.73531628360487,-75,-1.2,early,1,PM Peak,2026-05-12T17:00:36.023174,2026-05-12,17,Tuesday,0
163,OC-1162,12,AA490,45.41353499131512,-75.71350968306957,-42,-0.7,on_time,1,PM Peak,2026-05-12T16:48:04.023174,2026-05-12,16,Tuesday,0
164,OC-1163,95,AA520,45.42411578899759,-75.69370250133288,27,0.5,on_time,1,PM Peak,2026-05-12T17:05:49.023174,2026-05-12,17,Tuesday,0
165,OC-1164,1,AA560,45.411582279182795,-75.6398753347274,-3,-0.1,on_time,1,PM Peak,2026-05-12T16:42:55.023174,2026-05-12,16,Tuesday,0
166,OC-1165,97,AA520,45.42643796714756,-75.69346982280553,-55,-0.9,on_time,1,PM Peak,2026-05-12T16:30:03.023174,2026-05-12,16,Tuesday,0
